sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor
192.168.2.100,192.168.2.200,3000,37406,6,40,3208,FSPA,2019/12/28T18:59:51.296,0.148,2019/12/28T18:59:51.444,local
192.168.2.200,192.168.2.100,37408,3000,6,40,5120,FSPA,2019/12/28T18:59:51.444,0.148,2019/12/28T18:59:51.592,local
192.168.2.100,192.168.2.200,3000,37408,6,40,3208,FSPA,2019/12/28T18:59:51.444,0.148,2019/12/28T18:59:51.592,local
192.168.2.200,192.168.2.100,37410,3000,6,40,5136,FSPA,2019/12/28T18:59:51.592,0.156,2019/12/28T18:59:51.748,local
192.168.2.100,192.168.2.200,3000,37410,6,40,3208,FSPA,2019/12/28T18:59:51.592,0.156,2019/12/28T18:59:51.748,local
192.168.2.200,192.168.2.100,37412,3000,6,40,5016,FSPA,2019/12/28T18:59:51.748,0.148,2019/12/28T18:59:51.896,local
192.168.2.100,192.168.2.200,3000,37412,6,40,3208,FSPA,2019/12/28T18:59:51.772,0.152,2019/12/28T18:59:51.924,local
192.168.2.100,192.168.2.200,3000,37414,6,40,3208,FSPA,2019/12/28T18:59:51.920,0.156,2019/12/28T18:59:52.076,local
192.168.2.200,192.168.2.100,37414,3000,6,40,5048,FSPA,2019/12/28T18:59:51.920,0.156,2019/12/28T18:59:52.076,local
192.168.2.200,192.168.2.100,37416,3000,6,40,5056,FSPA,2019/12/28T18:59:52.076,0.140,2019/12/28T18:59:52.216,local
192.168.2.100,192.168.2.200,3000,37416,6,40,3208,FSPA,2019/12/28T18:59:52.076,0.140,2019/12/28T18:59:52.216,local
192.168.2.200,192.168.2.100,37418,3000,6,40,5072,FSPA,2019/12/28T18:59:52.216,0.136,2019/12/28T18:59:52.352,local
192.168.2.100,192.168.2.200,3000,37418,6,40,3208,FSPA,2019/12/28T18:59:52.216,0.136,2019/12/28T18:59:52.352,local
192.168.2.200,192.168.2.100,37420,3000,6,40,5072,FSPA,2019/12/28T18:59:52.352,0.140,2019/12/28T18:59:52.492,local
192.168.2.100,192.168.2.200,3000,37420,6,40,3208,FSPA,2019/12/28T18:59:52.352,0.140,2019/12/28T18:59:52.492,local
192.168.2.200,192.168.2.100,37422,3000,6,40,5104,FSPA,2019/12/28T18:59:52.492,0.144,2019/12/28T18:59:52.636,local
192.168.2.100,192.168.2.200,3000,37422,6,40,3208,FSPA,2019/12/28T18:59:52.492,0.144,2019/12/28T18:59:52.636,local
192.168.2.200,192.168.2.100,37424,3000,6,48,5440,FSPA,2019/12/28T18:59:52.636,0.124,2019/12/28T18:59:52.760,local
192.168.2.100,192.168.2.200,3000,37424,6,40,3208,FSPA,2019/12/28T18:59:52.636,0.124,2019/12/28T18:59:52.760,local
192.168.2.100,192.168.2.200,3000,37426,6,40,3208,FSPA,2019/12/28T18:59:52.760,0.136,2019/12/28T18:59:52.896,local
192.168.2.200,192.168.2.100,37426,3000,6,40,5032,FSPA,2019/12/28T18:59:52.760,0.136,2019/12/28T18:59:52.896,local
192.168.2.200,192.168.2.100,37428,3000,6,40,5064,FSPA,2019/12/28T18:59:52.892,0.132,2019/12/28T18:59:53.024,local
192.168.2.100,192.168.2.200,3000,37428,6,40,3208,FSPA,2019/12/28T18:59:52.896,0.132,2019/12/28T18:59:53.028,local
192.168.2.100,192.168.2.200,3000,37430,6,40,3208,FSPA,2019/12/28T18:59:53.024,0.132,2019/12/28T18:59:53.156,local
192.168.2.200,192.168.2.100,37430,3000,6,40,5064,FSPA,2019/12/28T18:59:53.024,0.132,2019/12/28T18:59:53.156,local
192.168.2.100,192.168.2.200,3000,37432,6,40,3208,FSPA,2019/12/28T18:59:53.156,0.140,2019/12/28T18:59:53.296,local
192.168.2.200,192.168.2.100,37432,3000,6,40,5072,FSPA,2019/12/28T18:59:53.156,0.136,2019/12/28T18:59:53.292,local
192.168.2.200,192.168.2.100,37434,3000,6,40,5016,FSPA,2019/12/28T18:59:53.292,0.136,2019/12/28T18:59:53.428,local
192.168.2.100,192.168.2.200,3000,37434,6,40,3208,FSPA,2019/12/28T18:59:53.292,0.136,2019/12/28T18:59:53.428,local
192.168.2.200,192.168.2.100,37436,3000,6,40,5064,FSPA,2019/12/28T18:59:53.428,0.128,2019/12/28T18:59:53.556,local
192.168.2.100,192.168.2.200,3000,37436,6,40,3208,FSPA,2019/12/28T18:59:53.428,0.128,2019/12/28T18:59:53.556,local
192.168.2.200,192.168.2.100,37438,3000,6,40,5056,FSPA,2019/12/28T18:59:53.556,0.136,2019/12/28T18:59:53.692,local
192.168.2.100,192.168.2.200,3000,37438,6,40,3208,FSPA,2019/12/28T18:59:53.556,0.136,2019/12/28T18:59:53.692,local
192.168.2.100,192.168.2.200,3000,37440,6,40,3208,FSPA,2019/12/28T18:59:53.692,0.144,2019/12/28T18:59:53.836,local
192.168.2.200,192.168.2.100,37440,3000,6,40,5048,FSPA,2019/12/28T18:59:53.692,0.144,2019/12/28T18:59:53.836,local
192.168.2.200,192.168.2.100,37442,3000,6,40,5128,FSPA,2019/12/28T18:59:53.832,0.144,2019/12/28T18:59:53.976,local
192.168.2.100,192.168.2.200,3000,37442,6,40,3208,FSPA,2019/12/28T18:59:53.652,0.140,2019/12/28T18:59:53.792,local
192.168.2.100,192.168.2.200,3000,37444,6,40,3208,FSPA,2019/12/28T18:59:53.792,0.148,2019/12/28T18:59:53.940,local
192.168.2.200,192.168.2.100,37444,3000,6,40,5048,FSPA,2019/12/28T18:59:53.792,0.148,2019/12/28T18:59:53.940,local
192.168.2.200,192.168.2.100,37446,3000,6,40,5088,FSPA,2019/12/28T18:59:53.940,0.144,2019/12/28T18:59:54.084,local
192.168.2.100,192.168.2.200,3000,37446,6,40,3208,FSPA,2019/12/28T18:59:53.940,0.144,2019/12/28T18:59:54.084,local
192.168.2.100,192.168.2.200,3000,37448,6,40,3208,FSPA,2019/12/28T18:59:54.084,0.136,2019/12/28T18:59:54.220,local
192.168.2.200,192.168.2.100,37448,3000,6,40,5048,FSPA,2019/12/28T18:59:54.084,0.136,2019/12/28T18:59:54.220,local
192.168.2.200,192.168.2.100,37450,3000,6,40,5088,FSPA,2019/12/28T18:59:54.220,0.144,2019/12/28T18:59:54.364,local
192.168.2.100,192.168.2.200,3000,37450,6,40,3208,FSPA,2019/12/28T18:59:54.220,0.144,2019/12/28T18:59:54.364,local
192.168.2.100,192.168.2.200,3000,37452,6,40,3208,FSPA,2019/12/28T18:59:54.364,0.140,2019/12/28T18:59:54.504,local
192.168.2.200,192.168.2.100,37452,3000,6,40,5040,FSPA,2019/12/28T18:59:54.364,0.140,2019/12/28T18:59:54.504,local
192.168.2.200,192.168.2.100,37454,3000,6,40,5064,FSPA,2019/12/28T18:59:54.504,0.140,2019/12/28T18:59:54.644,local
192.168.2.100,192.168.2.200,3000,37454,6,40,3208,FSPA,2019/12/28T18:59:54.504,0.144,2019/12/28T18:59:54.648,local
192.168.2.200,192.168.2.100,37456,3000,6,40,5088,FSPA,2019/12/28T18:59:54.644,0.144,2019/12/28T18:59:54.788,local
192.168.2.100,192.168.2.200,3000,37456,6,40,3208,FSPA,2019/12/28T18:59:54.648,0.140,2019/12/28T18:59:54.788,local
192.168.2.200,192.168.2.100,37458,3000,6,40,5120,FSPA,2019/12/28T18:59:54.788,0.140,2019/12/28T18:59:54.928,local
192.168.2.100,192.168.2.200,3000,37458,6,40,3208,FSPA,2019/12/28T18:59:54.788,0.140,2019/12/28T18:59:54.928,local
192.168.2.100,192.168.2.200,3000,37460,6,40,3208,FSPA,2019/12/28T18:59:54.928,0.144,2019/12/28T18:59:55.072,local
192.168.2.200,192.168.2.100,37460,3000,6,40,5104,FSPA,2019/12/28T18:59:54.928,0.144,2019/12/28T18:59:55.072,local
192.168.2.200,192.168.2.100,37462,3000,6,40,5040,FSPA,2019/12/28T18:59:55.072,0.140,2019/12/28T18:59:55.212,local
192.168.2.100,192.168.2.200,3000,37462,6,40,3208,FSPA,2019/12/28T18:59:55.072,0.140,2019/12/28T18:59:55.212,local
192.168.2.100,192.168.2.200,3000,37464,6,40,3208,FSPA,2019/12/28T18:59:55.212,0.148,2019/12/28T18:59:55.360,local
192.168.2.200,192.168.2.100,37464,3000,6,40,5112,FSPA,2019/12/28T18:59:55.212,0.148,2019/12/28T18:59:55.360,local
192.168.2.200,192.168.2.100,37466,3000,6,48,5464,FSPA,2019/12/28T18:59:55.356,0.140,2019/12/28T18:59:55.496,local
192.168.2.100,192.168.2.200,3000,37466,6,40,3208,FSPA,2019/12/28T18:59:55.360,0.136,2019/12/28T18:59:55.496,local
192.168.2.200,192.168.2.100,37468,3000,6,40,5064,FSPA,2019/12/28T18:59:55.496,0.136,2019/12/28T18:59:55.632,local
192.168.2.100,192.168.2.200,3000,37468,6,40,3208,FSPA,2019/12/28T18:59:55.496,0.136,2019/12/28T18:59:55.632,local
192.168.2.100,192.168.2.200,3000,37470,6,40,3208,FSPA,2019/12/28T18:59:55.632,0.140,2019/12/28T18:59:55.772,local
192.168.2.200,192.168.2.100,37470,3000,6,40,5040,FSPA,2019/12/28T18:59:55.632,0.140,2019/12/28T18:59:55.772,local
192.168.2.100,192.168.2.200,3000,37472,6,40,3208,FSPA,2019/12/28T18:59:55.772,0.132,2019/12/28T18:59:55.904,local
192.168.2.200,192.168.2.100,37472,3000,6,40,5056,FSPA,2019/12/28T18:59:55.588,0.132,2019/12/28T18:59:55.720,local
192.168.2.100,192.168.2.200,3000,37474,6,40,3208,FSPA,2019/12/28T18:59:55.720,0.140,2019/12/28T18:59:55.860,local
192.168.2.200,192.168.2.100,37474,3000,6,40,5128,FSPA,2019/12/28T18:59:55.720,0.140,2019/12/28T18:59:55.860,local
192.168.2.200,192.168.2.100,37476,3000,6,40,5016,FSPA,2019/12/28T18:59:55.860,0.148,2019/12/28T18:59:56.008,local
192.168.2.100,192.168.2.200,3000,37476,6,40,3208,FSPA,2019/12/28T18:59:55.860,0.148,2019/12/28T18:59:56.008,local
192.168.2.100,192.168.2.200,3000,37478,6,40,3208,FSPA,2019/12/28T18:59:56.008,0.140,2019/12/28T18:59:56.148,local
192.168.2.200,192.168.2.100,37478,3000,6,40,5064,FSPA,2019/12/28T18:59:56.008,0.140,2019/12/28T18:59:56.148,local
192.168.2.100,192.168.2.200,3000,37480,6,40,3208,FSPA,2019/12/28T18:59:56.148,0.144,2019/12/28T18:59:56.292,local
192.168.2.200,192.168.2.100,37480,3000,6,40,3632,FSPA,2019/12/28T18:59:56.148,0.144,2019/12/28T18:59:56.292,local
192.168.2.100,192.168.2.200,3000,37482,6,40,3208,FSPA,2019/12/28T18:59:56.292,0.136,2019/12/28T18:59:56.428,local
192.168.2.200,192.168.2.100,37482,3000,6,40,3632,FSPA,2019/12/28T18:59:56.292,0.136,2019/12/28T18:59:56.428,local
192.168.2.100,192.168.2.200,3000,37484,6,40,3208,FSPA,2019/12/28T18:59:56.428,0.144,2019/12/28T18:59:56.572,local
192.168.2.200,192.168.2.100,37484,3000,6,40,3632,FSPA,2019/12/28T18:59:56.428,0.144,2019/12/28T18:59:56.572,local
192.168.2.100,192.168.2.200,3000,37486,6,40,3208,FSPA,2019/12/28T18:59:56.572,0.136,2019/12/28T18:59:56.708,local
192.168.2.200,192.168.2.100,37486,3000,6,40,3632,FSPA,2019/12/28T18:59:56.572,0.136,2019/12/28T18:59:56.708,local
192.168.2.100,192.168.2.200,3000,37488,6,40,3208,FSPA,2019/12/28T18:59:56.708,0.148,2019/12/28T18:59:56.856,local
192.168.2.200,192.168.2.100,37488,3000,6,40,6184,FSPA,2019/12/28T18:59:56.708,0.148,2019/12/28T18:59:56.856,local
192.168.2.200,192.168.2.100,37490,3000,6,40,3928,FSPA,2019/12/28T18:59:56.856,0.140,2019/12/28T18:59:56.996,local
192.168.2.100,192.168.2.200,3000,37490,6,40,3208,FSPA,2019/12/28T18:59:56.856,0.140,2019/12/28T18:59:56.996,local
192.168.2.200,192.168.2.100,37492,3000,6,40,5104,FSPA,2019/12/28T18:59:56.996,0.136,2019/12/28T18:59:57.132,local
192.168.2.100,192.168.2.200,3000,37492,6,40,3208,FSPA,2019/12/28T18:59:56.996,0.136,2019/12/28T18:59:57.132,local
192.168.2.200,192.168.2.100,37494,3000,6,40,5192,FSPA,2019/12/28T18:59:57.128,0.144,2019/12/28T18:59:57.272,local
192.168.2.100,192.168.2.200,3000,37494,6,40,3208,FSPA,2019/12/28T18:59:57.128,0.144,2019/12/28T18:59:57.272,local
192.168.2.200,192.168.2.100,37496,3000,6,40,3640,FSPA,2019/12/28T18:59:57.272,0.148,2019/12/28T18:59:57.420,local
192.168.2.100,192.168.2.200,3000,37496,6,40,3208,FSPA,2019/12/28T18:59:57.272,0.148,2019/12/28T18:59:57.420,local
192.168.2.100,192.168.2.200,3000,37498,6,40,3208,FSPA,2019/12/28T18:59:57.420,0.140,2019/12/28T18:59:57.560,local
192.168.2.200,192.168.2.100,37498,3000,6,40,3640,FSPA,2019/12/28T18:59:57.420,0.140,2019/12/28T18:59:57.560,local
192.168.2.200,192.168.2.100,37500,3000,6,40,3640,FSPA,2019/12/28T18:59:57.560,0.144,2019/12/28T18:59:57.704,local
192.168.2.100,192.168.2.200,3000,37500,6,40,3208,FSPA,2019/12/28T18:59:57.560,0.144,2019/12/28T18:59:57.704,local
192.168.2.100,192.168.2.200,3000,37502,6,40,3208,FSPA,2019/12/28T18:59:57.704,0.144,2019/12/28T18:59:57.848,local
192.168.2.200,192.168.2.100,37502,3000,6,40,3640,FSPA,2019/12/28T18:59:57.704,0.144,2019/12/28T18:59:57.848,local
192.168.2.200,192.168.2.100,37504,3000,6,40,6184,FSPA,2019/12/28T18:59:58.664,0.148,2019/12/28T18:59:58.812,local
192.168.2.100,192.168.2.200,3000,37504,6,40,3208,FSPA,2019/12/28T18:59:58.664,0.152,2019/12/28T18:59:58.816,local
192.168.2.200,192.168.2.100,37506,3000,6,40,3944,FSPA,2019/12/28T18:59:58.812,0.144,2019/12/28T18:59:58.956,local
192.168.2.100,192.168.2.200,3000,37506,6,40,3208,FSPA,2019/12/28T18:59:58.812,0.144,2019/12/28T18:59:58.956,local
192.168.2.100,192.168.2.200,3000,37508,6,40,3208,FSPA,2019/12/28T18:59:58.956,0.140,2019/12/28T18:59:59.096,local
192.168.2.200,192.168.2.100,37508,3000,6,40,3608,FSPA,2019/12/28T18:59:58.956,0.140,2019/12/28T18:59:59.096,local
192.168.2.100,192.168.2.200,3000,37510,6,40,3208,FSPA,2019/12/28T18:59:59.096,0.144,2019/12/28T18:59:59.240,local
192.168.2.200,192.168.2.100,37510,3000,6,40,3608,FSPA,2019/12/28T18:59:59.096,0.144,2019/12/28T18:59:59.240,local
192.168.2.200,192.168.2.100,37512,3000,6,40,3608,FSPA,2019/12/28T18:59:59.240,0.144,2019/12/28T18:59:59.384,local
192.168.2.100,192.168.2.200,3000,37512,6,40,3208,FSPA,2019/12/28T18:59:59.240,0.144,2019/12/28T18:59:59.384,local
192.168.2.200,192.168.2.100,37514,3000,6,40,3608,FSPA,2019/12/28T18:59:59.384,0.140,2019/12/28T18:59:59.524,local
192.168.2.100,192.168.2.200,3000,37514,6,40,3208,FSPA,2019/12/28T18:59:59.384,0.140,2019/12/28T18:59:59.524,local
192.168.2.200,192.168.2.100,37516,3000,6,40,6168,FSPA,2019/12/28T18:59:59.524,0.140,2019/12/28T18:59:59.664,local
192.168.2.100,192.168.2.200,3000,37516,6,40,3208,FSPA,2019/12/28T18:59:59.524,0.140,2019/12/28T18:59:59.664,local
192.168.2.100,192.168.2.200,3000,37518,6,40,3208,FSPA,2019/12/28T18:59:59.664,0.144,2019/12/28T18:59:59.808,local
192.168.2.200,192.168.2.100,37518,3000,6,40,3880,FSPA,2019/12/28T18:59:59.664,0.140,2019/12/28T18:59:59.804,local
192.168.2.100,192.168.2.200,3000,37520,6,40,3208,FSPA,2019/12/28T18:59:59.804,0.144,2019/12/28T18:59:59.948,local
192.168.2.200,192.168.2.100,37520,3000,6,40,3648,FSPA,2019/12/28T18:59:59.804,0.144,2019/12/28T18:59:59.948,local
192.168.2.100,192.168.2.200,3000,37522,6,40,3208,FSPA,2019/12/28T18:59:59.948,0.144,2019/12/28T19:00:00.092,local
192.168.2.200,192.168.2.100,37522,3000,6,40,3648,FSPA,2019/12/28T18:59:59.948,0.144,2019/12/28T19:00:00.092,local
192.168.2.100,224.0.0.251,0,0,2,8,256,,2019/12/28T19:00:36.312,0.000,2019/12/28T19:00:36.312,local
192.168.2.100,192.168.2.200,3000,37524,6,40,3208,FSPA,2019/12/28T19:00:00.092,0.140,2019/12/28T19:00:00.232,local
192.168.2.200,192.168.2.100,37524,3000,6,40,3648,FSPA,2019/12/28T19:00:00.092,0.140,2019/12/28T19:00:00.232,local
192.168.2.200,192.168.2.100,37526,3000,6,40,3648,FSPA,2019/12/28T19:00:00.232,0.136,2019/12/28T19:00:00.368,local
192.168.2.100,192.168.2.200,3000,37526,6,40,3208,FSPA,2019/12/28T19:00:00.232,0.136,2019/12/28T19:00:00.368,local
192.168.2.200,192.168.2.100,37528,3000,6,40,6168,FSPA,2019/12/28T19:00:00.368,0.144,2019/12/28T19:00:00.512,local
192.168.2.100,192.168.2.200,3000,37528,6,40,3208,FSPA,2019/12/28T19:00:00.368,0.144,2019/12/28T19:00:00.512,local
192.168.2.100,192.168.2.200,3000,37530,6,40,3208,FSPA,2019/12/28T19:00:00.512,0.140,2019/12/28T19:00:00.652,local
192.168.2.200,192.168.2.100,37530,3000,6,40,3960,FSPA,2019/12/28T19:00:00.512,0.140,2019/12/28T19:00:00.652,local
192.168.2.100,192.168.2.200,3000,37532,6,40,3208,FSPA,2019/12/28T19:00:00.652,0.144,2019/12/28T19:00:00.796,local
192.168.2.200,192.168.2.100,37532,3000,6,40,3632,FSPA,2019/12/28T19:00:00.652,0.144,2019/12/28T19:00:00.796,local
192.168.2.100,192.168.2.200,3000,37534,6,40,3208,FSPA,2019/12/28T19:00:00.612,0.140,2019/12/28T19:00:00.752,local
192.168.2.200,192.168.2.100,37534,3000,6,40,3632,FSPA,2019/12/28T19:00:00.612,0.140,2019/12/28T19:00:00.752,local
192.168.2.200,192.168.2.100,37536,3000,6,40,3632,FSPA,2019/12/28T19:00:00.752,0.140,2019/12/28T19:00:00.892,local
192.168.2.100,192.168.2.200,3000,37536,6,40,3208,FSPA,2019/12/28T19:00:00.752,0.144,2019/12/28T19:00:00.896,local
192.168.2.200,192.168.2.100,37538,3000,6,40,3632,FSPA,2019/12/28T19:00:00.892,0.144,2019/12/28T19:00:01.036,local
192.168.2.100,192.168.2.200,3000,37538,6,40,3208,FSPA,2019/12/28T19:00:00.896,0.140,2019/12/28T19:00:01.036,local
192.168.2.100,192.168.2.200,3000,37540,6,40,3208,FSPA,2019/12/28T19:00:01.036,0.144,2019/12/28T19:00:01.180,local
192.168.2.200,192.168.2.100,37540,3000,6,40,6168,FSPA,2019/12/28T19:00:01.036,0.144,2019/12/28T19:00:01.180,local
192.168.2.200,192.168.2.100,37542,3000,6,40,3928,FSPA,2019/12/28T19:00:01.180,0.144,2019/12/28T19:00:01.324,local
192.168.2.100,192.168.2.200,3000,37542,6,40,3208,FSPA,2019/12/28T19:00:01.180,0.144,2019/12/28T19:00:01.324,local
192.168.2.100,192.168.2.200,3000,37544,6,40,3208,FSPA,2019/12/28T19:00:01.324,0.152,2019/12/28T19:00:01.476,local
192.168.2.200,192.168.2.100,37544,3000,6,40,3608,FSPA,2019/12/28T19:00:01.324,0.152,2019/12/28T19:00:01.476,local
192.168.2.100,192.168.2.200,3000,37546,6,40,3208,FSPA,2019/12/28T19:00:01.476,0.144,2019/12/28T19:00:01.620,local
192.168.2.200,192.168.2.100,37546,3000,6,40,3608,FSPA,2019/12/28T19:00:01.476,0.140,2019/12/28T19:00:01.616,local
192.168.2.100,192.168.2.200,3000,37548,6,40,3208,FSPA,2019/12/28T19:00:01.616,0.140,2019/12/28T19:00:01.756,local
192.168.2.200,192.168.2.100,37548,3000,6,40,3608,FSPA,2019/12/28T19:00:01.616,0.140,2019/12/28T19:00:01.756,local
192.168.2.200,192.168.2.100,37550,3000,6,40,3608,FSPA,2019/12/28T19:00:01.756,0.144,2019/12/28T19:00:01.900,local
192.168.2.100,192.168.2.200,3000,37550,6,40,3208,FSPA,2019/12/28T19:00:01.756,0.144,2019/12/28T19:00:01.900,local
192.168.2.200,192.168.2.100,37552,3000,6,40,6184,FSPA,2019/12/28T19:00:01.896,0.136,2019/12/28T19:00:02.032,local
192.168.2.100,192.168.2.200,3000,37552,6,40,3208,FSPA,2019/12/28T19:00:01.900,0.132,2019/12/28T19:00:02.032,local
192.168.2.100,192.168.2.200,3000,37554,6,40,3208,FSPA,2019/12/28T19:00:02.032,0.144,2019/12/28T19:00:02.176,local
192.168.2.200,192.168.2.100,37554,3000,6,40,3880,FSPA,2019/12/28T19:00:02.032,0.140,2019/12/28T19:00:02.172,local
192.168.2.200,192.168.2.100,37556,3000,6,40,3616,FSPA,2019/12/28T19:00:02.172,0.144,2019/12/28T19:00:02.316,local
192.168.2.100,192.168.2.200,3000,37556,6,40,3208,FSPA,2019/12/28T19:00:02.172,0.144,2019/12/28T19:00:02.316,local
192.168.2.200,192.168.2.100,37558,3000,6,40,3616,FSPA,2019/12/28T19:00:02.316,0.144,2019/12/28T19:00:02.460,local
192.168.2.100,192.168.2.200,3000,37558,6,40,3208,FSPA,2019/12/28T19:00:02.316,0.144,2019/12/28T19:00:02.460,local
192.168.2.200,192.168.2.100,37560,3000,6,40,3616,FSPA,2019/12/28T19:00:02.460,0.200,2019/12/28T19:00:02.660,local
192.168.2.100,192.168.2.200,3000,37560,6,40,3208,FSPA,2019/12/28T19:00:02.460,0.200,2019/12/28T19:00:02.660,local
192.168.2.100,192.168.2.200,3000,37562,6,40,3208,FSPA,2019/12/28T19:00:02.660,0.144,2019/12/28T19:00:02.804,local
192.168.2.200,192.168.2.100,37562,3000,6,40,3616,FSPA,2019/12/28T19:00:02.656,0.148,2019/12/28T19:00:02.804,local
192.168.2.200,192.168.2.100,37564,3000,6,40,6168,FSPA,2019/12/28T19:00:02.516,0.136,2019/12/28T19:00:02.652,local
192.168.2.100,192.168.2.200,3000,37564,6,40,3208,FSPA,2019/12/28T19:00:02.516,0.136,2019/12/28T19:00:02.652,local
192.168.2.100,192.168.2.200,3000,37566,6,40,3208,FSPA,2019/12/28T19:00:02.652,0.140,2019/12/28T19:00:02.792,local
192.168.2.200,192.168.2.100,37566,3000,6,40,3896,FSPA,2019/12/28T19:00:02.652,0.140,2019/12/28T19:00:02.792,local
192.168.2.200,192.168.2.100,37568,3000,6,40,3656,FSPA,2019/12/28T19:00:02.792,0.144,2019/12/28T19:00:02.936,local
192.168.2.100,192.168.2.200,3000,37568,6,40,3208,FSPA,2019/12/28T19:00:02.792,0.144,2019/12/28T19:00:02.936,local
192.168.2.200,192.168.2.100,37570,3000,6,40,3656,FSPA,2019/12/28T19:00:02.936,0.140,2019/12/28T19:00:03.076,local
192.168.2.100,192.168.2.200,3000,37570,6,40,3208,FSPA,2019/12/28T19:00:02.936,0.140,2019/12/28T19:00:03.076,local
192.168.2.200,192.168.2.100,37572,3000,6,40,3656,FSPA,2019/12/28T19:00:03.076,0.144,2019/12/28T19:00:03.220,local
192.168.2.100,192.168.2.200,3000,37572,6,40,3208,FSPA,2019/12/28T19:00:03.076,0.144,2019/12/28T19:00:03.220,local
192.168.2.200,192.168.2.100,37574,3000,6,40,3656,FSPA,2019/12/28T19:00:03.220,0.144,2019/12/28T19:00:03.364,local
192.168.2.100,192.168.2.200,3000,37574,6,40,3208,FSPA,2019/12/28T19:00:03.220,0.144,2019/12/28T19:00:03.364,local
192.168.2.100,192.168.2.200,3000,37576,6,40,3208,FSPA,2019/12/28T19:00:03.364,0.136,2019/12/28T19:00:03.500,local
192.168.2.200,192.168.2.100,37576,3000,6,40,6168,FSPA,2019/12/28T19:00:03.364,0.136,2019/12/28T19:00:03.500,local
192.168.2.200,192.168.2.100,37578,3000,6,40,3976,FSPA,2019/12/28T19:00:03.500,0.144,2019/12/28T19:00:03.644,local
192.168.2.100,192.168.2.200,3000,37578,6,40,3208,FSPA,2019/12/28T19:00:03.500,0.144,2019/12/28T19:00:03.644,local
192.168.2.100,192.168.2.200,3000,37580,6,40,3208,FSPA,2019/12/28T19:00:03.644,0.144,2019/12/28T19:00:03.788,local
192.168.2.200,192.168.2.100,37580,3000,6,40,3640,FSPA,2019/12/28T19:00:03.644,0.144,2019/12/28T19:00:03.788,local
192.168.2.200,192.168.2.100,37582,3000,6,40,3640,FSPA,2019/12/28T19:00:03.788,0.144,2019/12/28T19:00:03.932,local
192.168.2.100,192.168.2.200,3000,37582,6,40,3208,FSPA,2019/12/28T19:00:03.788,0.144,2019/12/28T19:00:03.932,local
192.168.2.200,192.168.2.100,37584,3000,6,40,3640,FSPA,2019/12/28T19:00:03.932,0.140,2019/12/28T19:00:04.072,local
192.168.2.100,192.168.2.200,3000,37584,6,40,3208,FSPA,2019/12/28T19:00:03.932,0.140,2019/12/28T19:00:04.072,local
192.168.2.200,192.168.2.100,37586,3000,6,40,3640,FSPA,2019/12/28T19:00:04.072,0.144,2019/12/28T19:00:04.216,local
192.168.2.100,192.168.2.200,3000,37586,6,40,3208,FSPA,2019/12/28T19:00:04.072,0.144,2019/12/28T19:00:04.216,local
